1467-9442,(SCAND. J. ECON.),A1,Ene 2014 - Dic 2014,"ENVIRONMENTAL SCIENCE AND POLLUTION MANAGEMENT,SCOPUS,SJR"
0128-5157,"3L: THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE 
STUDIES",A1,Ene 2014 - Dic 2014,BBCS-Linguistics & Language Behavior Abstracts
1619-4500,"4OR, A QUARTERLY JOURNAL OF OPERATIONS RESEARCH 
SPRINGER, BERLIN",A1,Ene 2014 - Dic 2014,"BBCS- EconLit,BBCS-INSPEC,IB-SCI,IBGC- JCR,SCOPUS,SJR"
1467-8306,AAAGAK,A1,Ene 2014 - Dic 2014,"BBCS-CAB Abstracts,BBCS-GeoRef,BBCS-Sociological Abstracts,ENVIRONMENTAL SCIENCE AND 
POLLUTION MANAGEMENT,POLLUTION ABSTRACTS,SCOPUS,SJR,SUSTAINABILITY SCIENCE"
0149-1423,AAPG BULLETIN,A1,Ene 2014 - Dic 2014,"CURRENT CONTENTS,IB-SCI,IBGC- JCR,SCOPUS,SJR"
1530-9932,AAPS PHARMSCITECH,A1,Ene 2014 - Dic 2014,"BIOE - BIOETHICSLINE,ENVIRONMENTAL SCIENCE AND POLLUTION MANAGEMENT,IB-Ind-Med,IB-
SCI,IBGC- JCR,SCOPUS,SJR"
0102-6720,ABCD: ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA,A1,Ene 2014 - Dic 2014,"BBCS-LILACS,IB-Ind-Med,IB-SciELO"
1432-0509,ABDOMINAL IMAGING,A1,Ene 2014 - Dic 2014,"IB-Ind-Med,SCOPUS,SJR"
1085-3375,ABSTRACT AND APPLIED ANALYSIS,A1,Ene 2014 - Dic 2014,"BBCS-INSPEC,CURRENT CONTENTS,IB-SCI,IBGC- JCR,SCOPUS"
1069-6563,ACADEMIC EMERGENCY MEDICINE,A1,Ene 2014 - Dic 2014,"BBCS-CAB Abstracts,CURRENT CONTENTS,IB-Ind-Med,IB-SCI,IBGC- JCR,SCOPUS,SJR"
1040-2446,ACADEMIC MEDICINE,A1,Ene 2014 - Dic 2014,"CURRENT CONTENTS,EDUCATIONAL RESEARCH ABSTRACTS,EDUCATIONAL RESOURCES 
INFORMATION,ERIC,IB-Ind-Med,IB-PsycINFO,IB-SCI,IBGC- JCR,PSYCFIRST,PSYCLIT,SCOPUS,SJR"
1876-2859,ACADEMIC PEDIATRICS,A1,Ene 2014 - Dic 2014,"BBCS-CAB Abstracts,CURRENT CONTENTS,IB-Ind-Med,IB-SCI,IBGC- JCR,PROQUEST RESEARCH 
LIBRARY,SCOPUS"
1876-2867,ACADEMIC PEDIATRICS,A1,Ene 2014 - Dic 2014,"IB-Ind-Med,SCOPUS,SJR"
1042-9670,ACADEMIC PSYCHIATRY,A1,Ene 2014 - Dic 2014,"CURRENT CONTENTS,IB-Ind-Med,IB-PsycINFO,IB-SSCI,IBGC- JCR,PROQUEST EDUCATION 
JOURNALS,PROQUEST PSYCHOLOGY JOURNALS,PSYCFIRST,PSYCLIT,SCOPUS,SOCIAL"
1076-6332,ACADEMIC RADIOLOGY,A1,Ene 2014 - Dic 2014,"BBCS-INSPEC,CURRENT CONTENTS,IB-Ind-Med,IB-SCI,IBGC- JCR,SCOPUS,SJR"
0001-4273,ACADEMY OF MANAGEMENT JOURNAL,A1,Ene 2014 - Dic 2014,"BBCS-IBSS,BBCS-INSPEC,CURRENT CONTENTS,IB-Ind-Med,IB-PsycINFO,IB-SSCI,IBGC- 
JCR,PROQUEST PSYCHOLOGY JOURNALS,PROQUEST RESEARCH"
1537-260X,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,A1,Ene 2014 - Dic 2014,"CURRENT CONTENTS,IB-PsycINFO,IB-SSCI,IBGC- JCR,PROQUEST EDUCATION 
JOURNALS,PSYCFIRST,PSYCLIT,SCOPUS,SJR,SOCIAL SCISEARCH"
1558-9080,ACADEMY OF MANAGEMENT PERSPECTIVES,A1,Ene 2014 - Dic 2014,"BBCS-IBSS,CURRENT CONTENTS,IB-PsycINFO,IB-SSCI,IBGC- 
JCR,PSYCFIRST,PSYCLIT,SCOPUS,SJR,SOCIAL SCISEARCH"
